aid,name,website,createdOn,parent_org,segment,account_manager,cs_client_id,int_type
X1eyt2WApb,Wayne Independent,www.wayneindependent.com,2016-10-26,Gatehouse,Elite,Dana Venino,68331587,1
t3iX6lYqYM,Wayne Post,www.waynepost.com,2016-10-26,Gatehouse,Elite,Dana Venino,68331587,1
agwd6jnTM8,Waynesville Daily Guide,www.waynesvilledailyguide.com,2016-10-26,Gatehouse,Elite,Dana Venino,68331587,1
9vA5g3VPMI,Wellsville Daily Reporter,www.wellsvilledaily.com,2016-10-26,Gatehouse,Elite,Dana Venino,68331587,1
QSha5LMb1W,Thibodaux Daily Comet,www.dailycomet.com,2016-10-26,Gatehouse,Elite,Dana Venino,68331587,1
g0ZlUpi0na,Herkimer Times Telegram,www.timestelegram.com,2016-10-26,Gatehouse,Elite,Dana Venino,68331587,1
xcosBLUEqh,Burlington Times-News,www.thetimesnews.com,2016-10-26,Gatehouse,Elite,Dana Venino,68331587,1
6VufAEvACF,Victor Post,www.victorpost.com,2016-10-26,Gatehouse,Elite,Dana Venino,68331587,1
ctVYNBJior,Waxahachie Daily Light,www.waxahachietx.com,2016-10-26,Gatehouse,Elite,Dana Venino,68331587,1
JPtBu2rJXw,StarNews Media,www.starnewsonline.com,2016-10-26,Gatehouse,Elite,Dana Venino,68331587,1
w4mlqygqmP,News Chief,www.newschief.com/,2016-10-26,Gatehouse,Elite,Dana Venino,68331587,1
zal9xGNryV,The Daily Mash,http://www.thedailymash.co.uk,2016-10-27,The Daily Mash,Select,Tim Rowell,68331620,1
kqzxaJ8VYt,Gadsden Times,www.gadsdentimes.com,2016-11-04,Gatehouse,Elite,Dana Venino,68331587,1
ooNhlfZLnM,Stephenville Empire-Tribune,http://www.yourstephenvilletx.com/,2016-11-04,Gatehouse,Elite,Dana Venino,68331587,1
onTD1CEf90,Rockford Register Star,www.rrstar.com,2016-11-04,Gatehouse,Elite,Dana Venino,68331587,1
XFtUpaGGsj,The Province,theprovince.com,2016-11-07,Postmedia,Elite,Dana Venino,68331610,1
aMpZA5bBzp,Ottawa Citizen,ottawacitizen.com,2016-11-08,Postmedia,Elite,Dana Venino,68331610,1
hdL5mHxkQj,Montreal Gazette,montrealgazette.com,2016-11-08,Postmedia,Elite,Dana Venino,68331610,1
6Cs63MZ7Vq,Calgary Herald,calgaryherald.com,2016-11-09,Postmedia,Elite,Dana Venino,68331610,1
NgrKzFTlSg,Edmonton Journal,edmontonjournal.com,2016-11-09,Postmedia,Elite,Dana Venino,68331610,1
E9moANse1G,Vancouver Sun,vancouversun.com,2016-11-09,Postmedia,Elite,Dana Venino,68331610,1
kvh83nNiMM,Windsor Star,windsorstar.com,2016-11-09,Postmedia,Elite,Dana Venino,68331610,1
rJ8lIP2AXv,Regina Leader-Post,leaderpost.com,2016-11-09,Postmedia,Elite,Dana Venino,68331610,1
V9bYavcKo3,Saskatoon StarPhoenix,thestarphoenix.com,2016-11-09,Postmedia,Elite,Dana Venino,68331610,1
3vxSO5Sezi,Grupo Abril,https://guiadoestudante.abril.com.br/,2016-11-24,Abril Comunicacoes S.A.,Elite,Tomas Vasko,68331567,1
4rqMYyzEyD,Ad Age,adage.com,2016-11-28,Crain Communications Inc.,Premier,Dana Venino,68331579,1
RjIJhdc4Gz,Stratfor,stratfor.com,2016-11-30,"Stratfor Enterprises, LLC",Select,Greg Howard,68331621,1
L9op1iXFtk,Times Colonist,timescolonist.com,2016-12-06,Glacier Media Inc.,Select,Tomas Vasko,68331590,1
zcOe64poun,Popular Photography,popphoto.com,2016-12-06,Bonnier Corp.,Select,Dana Venino,68331574,1
Y6eDVlUTyK,Stars and Stripes,stripes.com,2016-12-07,Stars & Stripes,Select,Greg Howard,68331619,1
Fy7FpgyUxA,TechCrunch,techcrunch.com,2016-12-07,TechCrunch,Elite,Dana Venino,68331570,1
Wjb1thKaGB,The Columbus Dispatch,www.dispatch.com,2016-12-15,Gatehouse,Elite,Dana Venino,68331587,1
6LaRkvUre6,Digiday,digiday.com,2016-12-20,Digiday,Select,Dana Venino,68331582,1
GTCopIDc5z,"Infoglobo, Editora e Condé Nast",oglobo.oglobo.com,2016-12-23,Grupo Globo,Elite,Tomas Vasko,68331723,1
IHFDsFInrJ,Bloomberg,bloomberg.com,2017-01-04,Bloomberg,Elite,Dana Venino,68331573,1
dH4U7XgLj6,NASCAR Trackpass,trackpass.nascar.com,2017-01-05,"NBCUniversal Media, LLC",Elite,Dana Venino,68331602,1
5JH3r2kxpL,IDC Online,idconline.mx,2017-01-20,Grupo Expansion S.A. de C.V.,Premier,Tomas Vasko,68331592,1
l6rB2ooK2U,AwesomenessTV,awesomenesstv.com,2017-01-23,"Awesomeness, LLC",Select,Dana Venino,68331571,1
NjBp7rufIn,Investors Business Daily,investors.com,2017-01-26,"Investor's Business Daily, Inc.",Select,Greg Howard,68331597,1
8vZARyTVSg,El Nuevo Dia PRODUCCION,elnuevodia.com,2017-02-03,GFR Media LLC,Elite,Tomas Vasko,68415553,1
a0ue9pACIr,BCRNews.com,bcrnews.com,2017-02-13,"Shaw Suburban Media Group, Inc.",Premier,Tomas Vasko,68331615,1
kezhOUsdkF,theCHIVE,thechive.com,2017-02-15,Resignation Media,Elite,Tomas Vasko,68331616,1
zUkajvWJ04,Golf Digest,golfdigest.com,2017-02-16,Conde Nast - Golf Digest,Premier,Dana Venino,68331577,1
9BdIvumoSj,Whidbey News Times,whidbeynewstimes.com,2017-02-21,"Sound Publishing, Inc.",Premier,Tomas Vasko,68331618,1
04NvchiXg8,Bainbridge Island Review,bainbridgereview.com,2017-02-21,"Sound Publishing, Inc.",Premier,Tomas Vasko,68331618,1
DD4wlSLCFK,South Whidbey Record,southwhidbeyrecord.com,2017-02-21,"Sound Publishing, Inc.",Premier,Tomas Vasko,68331618,1
Uto4yHK7YA,Mercer Island Reporter,mi-reporter.com,2017-02-21,"Sound Publishing, Inc.",Premier,Tomas Vasko,68331618,1
UaBOIuFrXA,The Daily World,thedailyworld.com,2017-02-21,"Sound Publishing, Inc.",Premier,Tomas Vasko,68331618,1
C7ACkNubGs,North Coast News,northcoastnews.com,2017-02-21,"Sound Publishing, Inc.",Premier,Tomas Vasko,68331618,1
DLmOFkXjVq,Peninsula Daily News,peninsuladailynews.com,2017-02-21,"Sound Publishing, Inc.",Premier,Tomas Vasko,68331618,1
YwU1a3iMZ2,Sequim Gazette,sequimgazette.com,2017-02-21,"Sound Publishing, Inc.",Premier,Tomas Vasko,68331618,1
T1ikWgxqEF,South Beach Bulletin,southbeachbulletin.com,2017-02-21,"Sound Publishing, Inc.",Premier,Tomas Vasko,68331618,1
pV38esXWbF,Público (PT),publico.pt,2017-03-10,Publico Comunicacao Social S.A.,Select,Tim Rowell,68331613,1
NsZ8w1B42e,London Review Of Books,lrb.co.uk,2017-03-20,London Review Of Books Ltd,Premier,Tim Rowell,68331598,1
aJtCtN5SEw,More Content Now,http://www.morecontentnow.com,2017-03-23,Gatehouse,Elite,Dana Venino,68331587,1
uRjKJzXgZJ,Pocono Record,http://poconorecord.com,2017-04-04,Gatehouse,Elite,Dana Venino,68331587,1
SDDk6QgkeK,Las Vegas Sun,lasvegassun.com,2017-04-11,Greenspun Media,Premier,Tomas Vasko,68331588,1
6qhim62iw9,Kendall County,kendallcountynow.com,2017-04-20,"Shaw Suburban Media Group, Inc.",Premier,Tomas Vasko,68331615,1
4jRt5mlqoD,Suburban Life,mysuburbanlife.com,2017-04-20,"Shaw Suburban Media Group, Inc.",Premier,Tomas Vasko,68331615,1
uxkfYvNaRE,Columbia Daily Tribune,http://www.columbiatribune.com/,2017-04-25,Gatehouse,Elite,Dana Venino,68331587,1
p7sVIGTDn5,The Real Deal,therealdeal.com,2017-04-26,Korangy Publishing Inc.,Premier,Greg Howard,68331594,1
zbB9QfOFso,TheStatehouseFile.com,thestatehousefile.com,2017-04-27,Franklin College,Select,Greg Howard,68331584,1
Da1UqzLDLR,Wicked Local,http://www.wickedlocal.com,2017-04-27,Gatehouse,Elite,Dana Venino,68331587,1
Z9bvuPACYA,National Observer,nationalobserver.com,2017-05-02,Observer Media Group,Select,Greg Howard,68331608,1
6mFfluDnUN,Daily Herald,dailyherald.com,2017-05-03,"Paddock Publications, Inc.",Select,Greg Howard,68331612,1
SE0WzqlbUG,National Post,nationalpost.com,2017-05-12,Postmedia,Elite,Dana Venino,68331610,1
rz1uH1WkXu,Financial Post,financialpost.com,2017-05-12,Postmedia,Elite,Dana Venino,68331610,1
VwsYOKBEBU,Taft Midway Driller,http://www.taftmidwaydriller.com/,2017-05-30,Gatehouse,Elite,Dana Venino,68331587,1
iTEjovPFjA,Ridgecrest Daily Independent,http://www.ridgecrestca.com/,2017-05-30,Gatehouse,Elite,Dana Venino,68331587,1
38mM7L549G,Monroe News,http://www.monroenews.com,2017-06-08,Gatehouse,Elite,Dana Venino,68331587,1
ZiZxr0ulLn,Mundo Estranho,http://mundoestranho.abril.com.br/,2017-06-09,Abril Comunicacoes S.A.,Elite,Tomas Vasko,68331567,1
JSiIMwwC7V,The Vidette,thevidette.com,2017-06-27,"Sound Publishing, Inc.",Premier,Tomas Vasko,68331618,1
bYLvuWS6m1,Fayetteville Observer,www.fayobserver.com,2017-06-27,Gatehouse,Elite,Dana Venino,68331587,1
lGr3ciYmC7,The Local,thelocal.se,2017-07-06,The Local Europe AB,Select,Tim Rowell,68331625,1
EmJ2Hg6oyH,The Hutchinson News,http://www.hutchnews.com/,2017-07-14,Gatehouse,Elite,Dana Venino,68331587,1
cBmgO35sXl,Salina Journal,http://www.salina.com,2017-07-14,Gatehouse,Elite,Dana Venino,68331587,1
ObPrNbh8nU,Garden City Telegram,http://www.gctelegram.com/,2017-07-14,Gatehouse,Elite,Dana Venino,68331587,1
JilaTdM2Cy,Burlington Hawk Eye,http://www.thehawkeye.com/,2017-07-14,Gatehouse,Elite,Dana Venino,68331587,1
ZTacgIxp3s,Hays Daily News,http://www.hdnews.net/,2017-07-14,Gatehouse,Elite,Dana Venino,68331587,1
LIYVphi0nv,The Darlington and Stockton Times,darlingtonandstocktontimes.co.uk,2017-07-19,Newsquest Media Group Limited,Premier,Tim Rowell,68331605,1
O77uVKL2QU,The Scottish Farmer,thescottishfarmer.co.uk,2017-07-19,Newsquest Media Group Limited,Premier,Tim Rowell,68331605,1
4OyhLrCXej,The Northern Echo,thenorthernecho.co.uk,2017-07-19,Newsquest Media Group Limited,Premier,Tim Rowell,68331605,1
NL1bHJZ2Gr,The National,thenational.scot,2017-07-19,Newsquest Media Group Limited,Premier,Tim Rowell,68331605,1
rBSKi8pTte,Herald Scotland,heraldscotland.com,2017-07-19,Newsquest Media Group Limited,Premier,Tim Rowell,68331605,1
MH9NDnRj2b,New York Post,nypost.com,2017-07-25,"NYP Holdings, Inc.",Premier,Dana Venino,68331606,1
bF2qPWAkzX,The Hamilton Spectator,thespec.com,2017-08-07,"Metroland Media Group, Ltd.",Premier,Greg Howard,68331600,1
Wskcx1Xqje,Waterloo Region Record,therecord.com,2017-08-07,"Metroland Media Group, Ltd.",Premier,Greg Howard,68331600,1
mq4ucQHSOB,NJ.com,nj.com,2017-08-07,Advance Digital Inc.,Premier,Tomas Vasko,68331568,1
E1P0AqK62n,Kent Record-Courier,http://record-courier.com,2017-08-09,Gatehouse,Elite,Dana Venino,68331587,1
cqVXn4kcJp,Wooster Daily Record,http://the-daily-record.com,2017-08-09,Gatehouse,Elite,Dana Venino,68331587,1
KpyH2ly3tY,Ashland Times Gazette,http://times-gazette.com,2017-08-09,Gatehouse,Elite,Dana Venino,68331587,1
J05kzzNsAE,Cambridge Daily Jeffersonian,http://daily-jeff.com,2017-08-09,Gatehouse,Elite,Dana Venino,68331587,1
19fnorq5ZP,Virginian-Pilot,pilotonline.com,2017-08-16,Virginian Pilot Media Companies LLC,Select,Greg Howard,68415556,1
LBdxUZzytb,Stockton Record,http://recordnet.com,2017-08-18,Gatehouse,Elite,Dana Venino,68331587,1
2dyhdKT5xn,SeacoastOnline,http://seacoastonline.com,2017-08-18,Gatehouse,Elite,Dana Venino,68331587,1
fWiSLgbp8L,Foster's Daily Democrat,http://fosters.com,2017-08-18,Gatehouse,Elite,Dana Venino,68331587,1
Z3My2YGAFK,Cape Cod Times,http://capecodtimes.com,2017-08-18,Gatehouse,Elite,Dana Venino,68331587,1
VeVOSucm41,Middletown Times Herald-Record,http://recordonline.com,2017-08-18,Gatehouse,Elite,Dana Venino,68331587,1
AUEgCbIJlf,New Bedford Standard-Times,http://southcoasttoday.com,2017-08-18,Gatehouse,Elite,Dana Venino,68331587,1
zkWRYPrt7G,Decider,decider.com,2017-08-22,"NYP Holdings, Inc.",Premier,Dana Venino,68331606,1
6NqheC4DIa,Page Six,pagesix.com,2017-08-22,"NYP Holdings, Inc.",Premier,Dana Venino,68331606,1
pZpDrRDtBy,Cleveland.com,cleveland.com,2017-08-28,Advance Digital Inc.,Premier,Tomas Vasko,68331568,1
zK27EIf8Uk,Observador,observador.pt,2017-09-05,Observador,Premier,Tim Rowell,68416473,1
sUi7a62VEA,NYMag,nymag.com,2017-09-11,New York Media,Elite,Dana Venino,68331603,1
KlFb8Hg2nS,Toronto Sun,torontosun.com,2017-09-18,Postmedia,Elite,Dana Venino,68331610,1
SaL8uyWAwU,Calgary Sun,calgarysun.com,2017-09-18,Postmedia,Elite,Dana Venino,68331610,1
WytWBZZyCr,Edmonton Sun,edmontonsun.com,2017-09-18,Postmedia,Elite,Dana Venino,68331610,1
RpxZ9l1H1l,Winnipeg Sun,winnipegsun.com,2017-09-18,Postmedia,Elite,Dana Venino,68331610,1
HWJwMQIUo4,Ottawa Sun,ottawasun.com,2017-09-18,Postmedia,Elite,Dana Venino,68331610,1
XbtscClvMf,The Post and Courier,postandcourier.com,2017-09-20,"The Post and Courier, Inc.",Premier,Greg Howard,68331628,1
6qv8OniKQO,Decanter Premium,decanter.com,2017-09-21,Decanter,Premier,Tim Rowell,90151529,1
d4XLDKwgVK,The Gazette,thegazette.com,2017-10-09,"Gazette Communications, Inc.",Select,Greg Howard,68406680,1
p6M0eeA44g,Inside Philanthropy,insidephilanthropy.com,2017-10-27,Inside Philanthropy,Select,Greg Howard,68331593,1
lhpisUrvei,AdaptLocal Media LLC,adaptbn.com,2017-11-06,"AdaptLocal Media, LLC",Select,Greg Howard,68410556,1
vxCIN3E3cT,Salt Lake Tribune,sltrib.com,2017-11-07,Salt Lake Tribune,Select,Greg Howard,68413272,1
ZpCykEM7YO,Fusion Media Group,thefmg.com,2017-11-15,Fusion Media,Elite,Dana Venino,90123711,1
CwGHeq18o9,Gatehouse Media Games and Puzzles,http://games.sj-r.com,2017-11-20,Gatehouse,Elite,Dana Venino,68331587,1
yxv9HeMMI1,Cofina,cofina.pt,2017-11-27,Cofina,Premier,Tim Rowell,90141690,1
07EDjrwe2Q,Saúde,http://saude.abril.com.br/,2017-12-04,Abril Comunicacoes S.A.,Elite,Tomas Vasko,68331567,1
FV0czWAOfe,Chicago Sun Times,chicago.suntimes.com,2017-12-06,"Sun-Times Media Productions, LLC",Premier,Tomas Vasko,90147146,1
NWrSQaQjFd,Prensa Libre,http://www.prensalibre.com/,2017-12-13,Prensa Libre S.A.,Select,Tomas Vasko,68413655,1
wqo9s2cWVd,The Spectator,spectator.co.uk,2017-12-20,The Spectator,Premier,Tim Rowell,90127041,1
rdx9aWSVf9,AL.com,al.com,2018-01-03,Advance Digital Inc.,Premier,Tomas Vasko,68331568,1